                                                                          BALANTA ANALITICA
                                                           A MATERIALELOR PENTRU PERIOADA  01/01/2016 - 22/06/2016


                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|   60|   10978| BON VAL.FIXA 100000LEI                  | buc        | NOU     |    3     |    0     |    0     |    3     |         58961 |               |               |         58961 |
|   61|   10979| BON VAL FIXA 20000LEI TIRG              | buc        | NOU     |    85    |    0     |    0     |    85    |       1670549 |               |               |       1670549 |
|   62|   10980| BON VAL.FIXA 50000                      | buc        | NOU     |    84    |    0     |    0     |    84    |       1650895 |               |               |       1650895 |
|   63|   10981| BON VAL.FIXA 20000LEI PIATA             | buc        | NOU     |    29    |    0     |    0     |    29    |        569952 |               |               |        569952 |
|   64|   10982| BON VAL.FIXA 75000LEI A.TURISM          | buc        | NOU     |    36    |    0     |    0     |    36    |        707527 |               |               |        707527 |
|   65|   20167| DISCHETE SONY                           | buc        | NOU     |    5     |    0     |    0     |    5     |        356680 |               |               |        356680 |
|   66|   30214| ULEI MOTOR  DIESEL M30S2 20             | b          | NOU     |    1     |    0     |    0     |    1     |        405490 |               |               |        405490 |
|   67|   30505| VAL TIP IMPR.BCF MOTORINA               | fil        | NOU     |    23    |    0     |    0     |    23    |          5136 |               |               |          5136 |
|   68|   30507| BCF MOTORINA 300000LEI/FILA             | fil        | NOU     |    23    |    0     |    0     |    23    |      21960305 |               |               |      21960305 |
|   69|   30514| ODORIZANT CAMERA GLADE                  | buc        | NOU     |    6     |    0     |    0     |    6     |        760781 |               |               |        760781 |
|   70|   30517| DOMESTOS GEL                            | buc        | NOU     |    10    |    0     |    0     |    10    |        226826 |               |               |        226826 |
|   71|   30519| AJAX GEAM                               | buc        | NOU     |    10    |    0     |    0     |    10    |        290928 |               |               |        290928 |
|   72|   30521| BON PREDARE TRANSFER                    | car        | NOU     |    1     |    0     |    0     |    1     |          4736 |               |               |          4736 |
|   73|   30523| FOAIE COLECTIVA DE PREZENTA             | buc        | NOU     |   300    |    0     |    0     |   300    |         51141 |               |               |         51141 |
|   74|   30524| INDIGO RADEX                            | buc        | NOU     |    5     |    0     |    0     |    5     |        155432 |               |               |        155432 |
|   75|   30525| REGISTRU ECONOMIC                       | buc        | NOU     |    10    |    0     |    0     |    10    |        250656 |               |               |        250656 |
|   76|   30526| DOCUMENT CUMULATIV A3                   | buc        | NOU     |    1     |    0     |    0     |    1     |         31399 |               |               |         31399 |
