

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   141|    640664   |             |SISTEM VIDEO CU CIRCUIT INCHIS          | 5,  ,  |  ,  ,  |  ,  ,  |
|   142|    640665   |             |CENTRALA TERMICA 33 KW CU BOILER INOX   |10,  ,  |  ,  ,  |  ,  ,  |
|   143|    640666   |             |SISTEM CONTROL ACCES VIDEO-4 POSTURI    |10,  ,  |  ,  ,  |  ,  ,  |
|   144|    640667   |             |SISTEM CONTROL ACCES VIDEO-16 POSTURI   |10,  ,  |  ,  ,  |  ,  ,  |
|   145|    640669   |             |CENTRALA PONTAJ POLICLINICA             |10,  ,  |  ,  ,  |  ,  ,  |
|   146|    640670   |             |SISTEM.MONIT.VIDEO LA DISTANTA          |10,  ,  |  ,  ,  |  ,  ,  |
|   147|    640671   |             |FREZA ZAPADA                            |  ,  ,  |  ,  ,  |  ,  ,  |
|   148|    640672   |             |APARAT AER CONDITIONAT 18000BTU         |  ,  ,  |  ,  ,  |  ,  ,  |
|   149|    640673   |             |MASINA DE SPALAT RUFE 25 KG             |  ,  ,  |  ,  ,  |  ,  ,  |
|   150|    640674   |             |MASINA DE SPALAT PODELE CU ACUMULATORI  |  ,  ,  |  ,  ,  |  ,  ,  |
|   151|    640675   |             |INSTAL.INOX CU 2 POST.PT.PROD.APA STER. |  ,  ,  |  ,  ,  |  ,  ,  |
|   152|    640676   |             |INST.INOX.CU 1 POST PT.PROD.APA STERILA |  ,  ,  |  ,  ,  |  ,  ,  |
|   153|    640677   |             |TABLOU ALARM.SI CONTROL(OXIG.SI AER COM)|  ,  ,  |  ,  ,  |  ,  ,  |
|   154|    640678   |             |USA GLISANTA AUTOM.DIN INOX             |  ,  ,  |  ,  ,  |  ,  ,  |
|   155|    640679   |             |USA GLISANTA AUTOMATA DIN INOX/1        |  ,  ,  |  ,  ,  |  ,  ,  |
|   156|    640680   |             |USA BATANTA AUTOMATA DIN INOX           |  ,  ,  |  ,  ,  |  ,  ,  |
|   157|    640681   |             |USA BATANTA AUTOMATA DIN INOX/1         |  ,  ,  |  ,  ,  |  ,  ,  |
|   158|    640682   |             |BARIERA 4M                              |  ,  ,  |  ,  ,  |  ,  ,  |
|   159|    640683   |             |SISTEM IRIGATIE                         |  ,  ,  |  ,  ,  |  ,  ,  |
|   160|    640684   |             |SISTEM CLIMATIZ.TIP VRF TOSHIBA ETJ.1   |  ,  ,  |  ,  ,  |  ,  ,  |
|   161|    640685   |             |SISTEM CLIMATIZARE TIP VRF TOSHIBA ETJ.2|  ,  ,  |  ,  ,  |  ,  ,  |
|   162|    640686   |             |ASPIRATORFRUNZE CU TOCATOR              |  ,  ,  |  ,  ,  |  ,  ,  |
|   163|    640687   |             |MASINA PROFESION. DE SPALAT RUFE W5240H | 6,  ,  |  ,  ,  |  ,  ,  |
|   164|    640688   |             |DISPENSER PANTOFI ORMA                  |  ,  ,  |  ,  ,  |  ,  ,  |
|   165|    640689   |             |DISPENSER PANTOFI ORMA/1                | 5,  ,  |  ,  ,  |  ,  ,  |
|   166|    640690   |             |DISPENSER PANTOFI ORMA/2                | 5,  ,  |  ,  ,  |  ,  ,  |
|   167|    640691   |             |DISPENSER PANTOFI ORMA/3                | 5,  ,  |  ,  ,  |  ,  ,  |
|   168|    640692   |             |SIST.CLIM.VRY/VRF TODHIBA-ETII/CTA BUC  |10,  ,  |  ,  ,  |  ,  ,  |
|   169|    640693   |             |SIST.CLIM.VRV/VRF TOSHIBA-DEMIS.ET1.CTA |10,  ,  |  ,  ,  |  ,  ,  |
|   170|    640694   |             |DULAP SUSPENDAT CU USI GLISANTE         |  ,  ,  |  ,  ,  |  ,  ,  |
|   171|    640695   |             |DULAP VERTICAL CU 2 USI GLISANTE        |  ,  ,  |  ,  ,  |  ,  ,  |
|   172|    640696   |             |MASA DE LUCRU CU REBORD                 |  ,  ,  |  ,  ,  |  ,  ,  |
|   173|    640697   |             |MASA DE LUCRU CU REBORD 2000*700*850MM  |  ,  ,  |  ,  ,  |  ,  ,  |
|   174|    640698   |             |MASA DE LUCRU CU REBORD SI 2 SERTARE    |  ,  ,  |  ,  ,  |  ,  ,  |
|   175|    640699   |             |MASA DE LUCRU DEMONTABILA CU POLITA     |  ,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          4
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
