                                                                          BALANTA ANALITICA
                                                          A MIJLOACELOR FIXE PENTRU PERIOADA  01/12/2012 - 31/12/2012


 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|   42|  300077| SISTEM P4                               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2285.67 |          0.00 |          0.00 |       2285.67 |
|   43|  300078| SISTEM CALCUL P.4                       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1221.61 |          0.00 |          0.00 |       1221.61 |
|   44|  300079| SISTEM CALCUL P4 NOU                    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2082.81 |          0.00 |          0.00 |       2082.81 |
|   45|  300080| SISTEM CALCU P4/1                       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1674.20 |          0.00 |          0.00 |       1674.20 |
|   46|  300081| SISTEM CALCUL P4/2                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1674.20 |          0.00 |          0.00 |       1674.20 |
|   47|  300082| SISTEM CALCUL P4/3                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3815.38 |          0.00 |          0.00 |       3815.38 |
|   48|  300085| SISTEM CALCUL P4/4                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1577.71 |          0.00 |          0.00 |       1577.71 |
|   49|  300086| SISTEM CALCUL P4/5                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1577.71 |          0.00 |          0.00 |       1577.71 |
|   50|  300087| SISTEM CALCUL P4/6                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1577.71 |          0.00 |          0.00 |       1577.71 |
|   51|  300088| SISTEM CALCUL P4/7                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1577.71 |          0.00 |          0.00 |       1577.71 |
|   52|  300089| SISTEM CALCUL P4/8                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1577.71 |          0.00 |          0.00 |       1577.71 |
|   53|  300090| SISTEM DE CALCUL PIV/1                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1490.00 |          0.00 |          0.00 |       1490.00 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  11/02/2013

 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     2
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|   54|  300091| SISTEM DE CALCUL PIV/2                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1480.00 |          0.00 |          0.00 |       1480.00 |
|   55|  300092| SISTEM DE CALCUL PIV/3                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1660.00 |          0.00 |          0.00 |       1660.00 |
|   56|  300093| SISTEM DE CALCUL PIV/4                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1540.00 |          0.00 |          0.00 |       1540.00 |
|   57|  300094| SISTEM DE CALCUL PIV/5                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1729.00 |          0.00 |          0.00 |       1729.00 |
|   58|  300095| SISTEM DE CALCUL PIV/6                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1511.00 |          0.00 |          0.00 |       1511.00 |
|   59|  300096| COMPLET RETEA                           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10441.00 |          0.00 |          0.00 |      10441.00 |
