

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   160|     20266   |             |MESE MOZ TIP II                         |10,  ,  |  ,  ,  |  ,  ,  |
|   161|     20267   |             |CLESTE TAIAT                            |10,  ,  |  ,  ,  |  ,  ,  |
|   162|     20268   |             |CLESTE SUEDEZ                           |10,  ,  |  ,  ,  |  ,  ,  |
|   163|     20270   |             |SURUBELNITE                             |10,  ,  |  ,  ,  |  ,  ,  |
|   164|     20271   |             |BOILER 5O L                             |10,  ,  |  ,  ,  |  ,  ,  |
|   165|     20272   |             |BOILER 85 L                             |10,  ,  |  ,  ,  |  ,  ,  |
|   166|     20274   |             |BROASCA BIROU                           |10,  ,  |  ,  ,  |  ,  ,  |
|   167|     20275   |             |CISME PVC                               |10,  ,  |  ,  ,  |  ,  ,  |
|   168|     20276   |             |BROASCA YALA                            |10,  ,  |  ,  ,  |  ,  ,  |
|   169|     20277   |             |HUSA NOKIA                              |10,  ,  |  ,  ,  |  ,  ,  |
|   170|     20278   |             |MATASE DECORATIVA                       |10,  ,  |  ,  ,  |  ,  ,  |
|   171|     20279   |             |STIPLEXURI INSCRIPTIONATE               |10,  ,  |  ,  ,  |  ,  ,  |
|   172|     20280   |             |CAPSATOR                                |10,  ,  |  ,  ,  |  ,  ,  |
|   173|     20281   |             |PERFORATOR                              |10,  ,  |  ,  ,  |  ,  ,  |
|   174|     20282   |             |LACATE                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   175|     20283   |             |TRUSA CHEI                              |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          4
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   176|     20284   |             |TREPIED SUPORT CIRLIGE                  |10,  ,  |  ,  ,  |  ,  ,  |
|   177|     20285   |             |BOILER 5 L                              |10,  ,  |  ,  ,  |  ,  ,  |
|   178|     20286   |             |VITRINE BOXE 150X40X60                  |10,  ,  |  ,  ,  |  ,  ,  |
|   179|     20287   |             |VITRINE 100X60X80                       |10,  ,  |  ,  ,  |  ,  ,  |
|   180|     20288   |             |FERSTRE MOBILE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   181|     20289   |             |PROSOAPE CRISTAL                        |10,  ,  |  ,  ,  |  ,  ,  |
