                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|   47| LOPETI                                   |   20013|   buc    |  NOU  |       8661.00 |      1.000|          8661 |109|FO| 1|54| 3| 1|01/01/2003|    11.944 |
|   48| LOPETI                                   |   20013|   buc    |  NOU  |       8661.00 |      1.000|          8661 |109|FO| 1|58| 3| 1|01/01/2003|    11.944 |
|   49| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.11 |      9.000|        799858 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   50| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.07 |     57.000|       5065765 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   51| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.07 |     15.000|       1333096 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   52| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.10 |     10.000|        888731 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|   53| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.00 |      6.000|        533238 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|CONTUL:109=603.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA:  5 = PIATA SMIRDAN          SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     2
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
