                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  500| LUSTRA CU VENTILAT/5 PAL.                |   20292|   buc    |  NOU  |     125609.00 |      1.000|        125609 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  501| LUSTRA CU VENTILAT/5 PAL.                |   20292|   buc    |  NOU  |     125609.25 |      4.000|        502437 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  502| DRAPELE MATASE                           |   20293|   buc    |  NOU  |      21616.00 |      2.000|         43232 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  503| PATURI LINA                              |   20294|   buc    |  NOU  |     267409.83 |     40.000|      10696393 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  504| GARNIT LENJ 2 PER                        |   20295|   buc    |  NOU  |     227298.35 |     40.000|       9091934 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  505| TABLOU ELECTRIC C 3                      |   20296|   buc    |  NOU  |     689989.00 |      1.000|        689989 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  506| TABLOU ELECTRIC C 3                      |   20296|   buc    |  NOU  |     689988.50 |      2.000|       1379977 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  507| TABLOU ELECTRIC C 3                      |   20296|   buc    |  NOU  |     689989.00 |      1.000|        689989 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  508| HUSE SALTELE 90X190                      |   20297|   buc    |  NOU  |     236600.19 |     36.000|       8517607 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  509| HUSE SALTELE 120X190                     |   20298|   buc    |  NOU  |     267409.50 |      2.000|        534819 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  510| GRILAJ USI SMIRD.35KG/BUC                |   20299|   buc    |  NOU  |    4246890.67 |      3.000|      12740672 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  511| CANCIOG                                  |   20300|   buc    |  NOU  |      23172.00 |      1.000|         23172 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|  512| PREFABRICATE BETON                       |   20301|   buc    |  NOU  |     557374.80 |     20.000|      11147496 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  513| LUSTRA CU VENTILATOR                     |   20302|   buc    |  NOU  |     219673.00 |      1.000|        219673 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  514| LUSTRA CU VENTILATOR                     |   20302|   buc    |  NOU  |     219673.00 |      1.000|        219673 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  515| PISTOL LIPIT                             |   20303|   buc    |  NOU  |     154533.00 |      1.000|        154533 |109|FO| 1|57| 3| 1|01/01/2003|    11.944 |
|  516| DISPOZITIV TAIAT FAIANTA                 |   20307|   buc    |  NOU  |     634453.00 |      1.000|        634453 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|  517| TOMBEROANE GUNOI                         |   20308|   buc    |  NOU  |     367500.00 |      2.000|        735000 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|CONTUL:109=603.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA:  4 = PIATA RAZBOIENI        SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:    10
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  518| TOMBEROANE GUNOI                         |   20308|   buc    |  NOU  |     367500.00 |      2.000|        735000 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  519| TOMBEROANE GUNOI                         |   20308|   buc    |  NOU  |     367500.00 |      1.000|        367500 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  520| TOMBEROANE GUNOI                         |   20308|   buc    |  NOU  |     367500.00 |      2.000|        735000 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  521| COLTAR-BIROU                             |   20309|   buc    |  NOU  |    1818676.00 |      1.000|       1818676 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  522| SUPORT CIRLIGE                           |   20310|   buc    |  NOU  |      86785.00 |      1.000|         86785 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  523| CEAS REDUCTOR BUTELIE                    |   20312|   buc    |  NOU  |      40043.00 |      1.000|         40043 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  524| CEAS REDUCTOR BUTELIE                    |   20312|   buc    |  NOU  |      40043.00 |      1.000|         40043 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  525| CEAS REDUCTOR BUTELIE                    |   20312|   buc    |  NOU  |      40043.00 |      1.000|         40043 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  526| CEAS REDUCTOR BUTELIE                    |   20312|   buc    |  NOU  |      40043.00 |      1.000|         40043 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  527| ARAGAZ 2 OCHIURI                         |   20313|   buc    |  NOU  |     785076.00 |      1.000|        785076 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  528| ARAGAZ 2 OCHIURI                         |   20313|   buc    |  NOU  |     785076.00 |      1.000|        785076 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  529| ARAGAZ 2 OCHIURI                         |   20313|   buc    |  NOU  |     785076.00 |      1.000|        785076 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  530| BUTELIE ARAGAZ                           |   20314|   buc    |  NOU  |     428607.00 |      1.000|        428607 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  531| BUTELIE ARAGAZ                           |   20314|   buc    |  NOU  |     428607.00 |      1.000|        428607 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  532| BUTELIE ARAGAZ                           |   20314|   buc    |  NOU  |     428607.00 |      1.000|        428607 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  533| BUTELIE ARAGAZ                           |   20314|   buc    |  NOU  |     428607.00 |      1.000|        428607 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  534| POMPA ZUGRAV                             |   20315|   buc    |  NOU  |     131356.00 |      1.000|        131356 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|  535| CIUBERE FLORI                            |   20316|   buc    |  NOU  |     121760.50 |     10.000|       1217605 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  536| CAPAC WC                                 |   20317|   buc    |  NOU  |      22951.00 |      1.000|         22951 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  537| SPALATOR INOX                            |   20318|   buc    |  NOU  |     547507.00 |      1.000|        547507 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  538| SPALATOR INOX                            |   20318|   buc    |  NOU  |     547507.00 |      1.000|        547507 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  539| CALCULATOR CITIZEN 8820                  |   20319|   buc    |  NOU  |     214169.50 |      2.000|        428339 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  540| CALCULATOR CITIZEN 8873                  |   20320|   buc    |  NOU  |     208220.50 |      2.000|        416441 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  541| CALCULATOR CITIZEN 888                   |   20321|   buc    |  NOU  |     218136.00 |      1.000|        218136 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  542| PRELUNGITOR                              |   20322|   buc    |  NOU  |      43077.67 |      3.000|        129233 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  543| VITRINE BOXE SMARD.190/54/85             |   20323|   buc    |  NOU  |    3543582.50 |      4.000|      14174330 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  544| MESE MOZAICATE                           |   20324|   buc    |  NOU  |    2619498.33 |      3.000|       7858495 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  545| MESE MOZAICATE                           |   20324|   buc    |  NOU  |    2619498.36 |     33.000|      86443446 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  546| VITRINA EXPUNERE MARFA                   |   20326|   buc    |  NOU  |     244351.00 |      4.000|        977404 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  547| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.50 |     32.000|      25815248 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  548| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.33 |      3.000|       2420179 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  549| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.40 |      5.000|       4033632 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  550| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.50 |      6.000|       4840359 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  551| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.44 |      9.000|       7260538 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  552| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.33 |      3.000|       2420179 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  553| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.43 |      7.000|       5647085 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  554| GALANTARE ALUMINIU                       |   20327|   buc    |  NOU  |     806726.50 |      2.000|       1613453 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  555| CALCULATOR CITIZEN CT 7OO                |   20328|   buc    |  NOU  |     222541.00 |      1.000|        222541 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  556| CALCULATOR CITIZEN CT 7OO                |   20328|   buc    |  NOU  |     222541.00 |      1.000|        222541 |109|FO| 1|32| 3| 1|01/01/2003|    11.944 |
|  557| TELEFON PANASONIC 2261                   |   20330|   buc    |  NOU  |     643389.00 |      3.000|       1930167 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  558| TELEFONIC PANASONIC 2315                 |   20331|   buc    |  NOU  |     458100.00 |      3.000|       1374300 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  559| SALTELE 1 PERS                           |   20332|   buc    |  NOU  |     686220.66 |     32.000|      21959061 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  560| BOILER 50                                |   20333|   buc    |  NOU  |     391180.50 |      2.000|        782361 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  561| BOILER 50                                |   20333|   buc    |  NOU  |     391180.00 |      1.000|        391180 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  562| BOILER 50                                |   20333|   buc    |  NOU  |     391180.50 |      2.000|        782361 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  563| ANTENA MAGNET CU CONECTOR                |   20334|   buc    |  NOU  |    1077434.00 |      1.000|       1077434 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  564| TABLOU ELECTRIC                          |   20335|   buc    |  NOU  |    2503750.00 |      1.000|       2503750 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  565| SCARA LOEMN                              |   20336|   buc    |  NOU  |     163934.00 |      1.000|        163934 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  566| SCARA LOEMN                              |   20336|   buc    |  NOU  |     163934.00 |      1.000|        163934 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  567| SCARA LOEMN                              |   20336|   buc    |  NOU  |     163934.00 |      1.000|        163934 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  568| PATURI STEJAR                            |   20338|   buc    |  NOU  |    1337048.97 |     36.000|      48133763 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  569| LAVOAR                                   |   20339|   buc    |  NOU  |      56837.00 |      1.000|         56837 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  570| LAVOAR                                   |   20339|   buc    |  NOU  |      56837.20 |      5.000|        284186 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  571| LAVOAR                                   |   20339|   buc    |  NOU  |      56837.00 |      1.000|         56837 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  572| LAVOAR                                   |   20339|   buc    |  NOU  |      56837.33 |      3.000|        170512 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  573| LAVOAR                                   |   20339|   buc    |  NOU  |      56837.00 |      1.000|         56837 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  574| LAVOAR                                   |   20339|   buc    |  NOU  |      56837.00 |      1.000|         56837 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  575| DRISCA                                   |   20342|   buc    |  NOU  |      50410.00 |      1.000|         50410 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|CONTUL:109=603.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 54 = MIHALACHE ILIE         SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:    11
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  576| CENTURI SIGURANTA                        |   20343|   buc    |  NOU  |     192828.00 |      2.000|        385656 |109|FO| 1|54| 3| 1|01/01/2003|    11.944 |
|  577| BOILER 6O L                              |   20344|   buc    |  NOU  |     423114.50 |      2.000|        846229 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  578| BOILER 6O L                              |   20344|   buc    |  NOU  |     423115.00 |      1.000|        423115 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  579| REZERVOR WC                              |   20345|   buc    |  NOU  |     107343.00 |      2.000|        214686 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  580| REZERVOR WC                              |   20345|   buc    |  NOU  |     107343.00 |      1.000|        107343 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  581| REZERVOR WC                              |   20345|   buc    |  NOU  |     107343.00 |      1.000|        107343 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  582| REZERVOR WC                              |   20345|   buc    |  NOU  |     107343.00 |      1.000|        107343 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  583| BOILER 15 L                              |   20346|   buc    |  NOU  |     267091.00 |      1.000|        267091 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  584| BOILER 15 L                              |   20346|   buc    |  NOU  |     267091.00 |      2.000|        534182 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  585| BOILER 15 L                              |   20346|   buc    |  NOU  |     267091.00 |      2.000|        534182 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  586| BOILER 15 L                              |   20346|   buc    |  NOU  |     267091.00 |      1.000|        267091 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  587| BOILER 15 L                              |   20346|   buc    |  NOU  |     267091.00 |      1.000|        267091 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  588| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68779.50 |      2.000|        137559 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  589| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68779.50 |      2.000|        137559 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  590| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68779.50 |      2.000|        137559 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  591| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  592| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68779.50 |      2.000|        137559 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  593| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  594| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1|52| 3| 1|01/01/2003|    11.944 |
|  595| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1|56| 3| 1|01/01/2003|    11.944 |
|  596| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1|57| 3| 1|01/01/2003|    11.944 |
|  597| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|  598| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1|61| 3| 1|01/01/2003|    11.944 |
|  599| PELERINE PLOAIE                          |   20347|   buc    |  NOU  |      68780.00 |      1.000|         68780 |109|FO| 1|64| 3| 1|01/01/2003|    11.944 |
|  600| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      4.000|        671888 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  601| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      2.000|        335944 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  602| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      2.000|        335944 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  603| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      2.000|        335944 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  604| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      2.000|        335944 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  605| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      2.000|        335944 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  606| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      4.000|        671888 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  607| STINGATOARE P5-CO2                       |   20348|   buc    |  NOU  |     167972.00 |      2.000|        335944 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  608| MESE MOZAICATE                           |   20349|   buc    |  NOU  |    2619498.42 |     12.000|      31433981 | 52|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  609| MESE MOZAICATE                           |   20349|   buc    |  NOU  |    2619498.00 |      1.000|       2619498 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  610| MESE MOZAICATE                           |   20349|   buc    |  NOU  |    2619498.43 |      7.000|      18336489 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  611| MESE MOZAICATE                           |   20349|   buc    |  NOU  |    2619498.33 |      6.000|      15716990 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  612| SUPORTI-COLOP STAMP.4926 PRET            |   20352|   buc    |  NOU  |      89760.81 |     16.000|       1436173 |109|FO| 1|36| 3| 1|01/01/2003|    11.944 |
|  613| SUPORTI-COLOP STAMP.4926 PRET            |   20352|   buc    |  NOU  |      89761.00 |      2.000|        179522 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  614| AMPRENTE PRET STAMP                      |   20353|   buc    |  NOU  |      56880.94 |     18.000|       1023857 |109|FO| 1|36| 3| 1|01/01/2003|    11.944 |
|  615| VITRINE TIP GALANTARE                    |   20355|   buc    |  NOU  |     163115.00 |      5.000|        815575 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  616| SCRUMIERE                                |   20356|   buc    |  NOU  |       2951.20 |     10.000|         29512 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  617| CANI APA                                 |   20357|   buc    |  NOU  |      16393.67 |      6.000|         98362 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  618| PAHARE                                   |   20358|   buc    |  NOU  |       4797.43 |     30.000|        143923 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  619| PAHARE                                   |   20358|   buc    |  NOU  |       4797.42 |     24.000|        115138 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  620| TOMBEROANE GUNOI                         |   20359|   buc    |  NOU  |     162500.00 |      1.000|        162500 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  621| FURTUN DESF CANAL                        |   20360|   buc    |  NOU  |     316607.00 |      1.000|        316607 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  622| HIDRANTI                                 |   20361|   buc    |  NOU  |     454018.50 |      2.000|        908037 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  623| HIDRANTI                                 |   20361|   buc    |  NOU  |     454019.00 |      1.000|        454019 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  624| HIDRANTI                                 |   20361|   buc    |  NOU  |     454019.00 |      1.000|        454019 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  625| HIDRANTI                                 |   20361|   buc    |  NOU  |     454019.00 |      1.000|        454019 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  626| HIDRANTI                                 |   20361|   buc    |  NOU  |     454019.00 |      1.000|        454019 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  627| CALORIFER ZASS 12 EL.                    |   20362|   buc    |  NOU  |     285894.00 |      2.000|        571788 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  628| CALORIFER ZASS 12 EL.                    |   20362|   buc    |  NOU  |     285894.00 |      1.000|        285894 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  629| CALORIFER ZASS 12 EL.                    |   20362|   buc    |  NOU  |     285894.00 |      1.000|        285894 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  630| CALORIFER ZASS 12 EL.                    |   20362|   buc    |  NOU  |     285894.00 |      1.000|        285894 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  631| CALORIFER ZASS 12 EL.                    |   20362|   buc    |  NOU  |     285893.83 |      6.000|       1715363 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  632| BALANTA SEMIAUTOMATA                     |   20363|   buc    |  NOU  |    1697457.00 |      1.000|       1697457 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  633| TELEVIZOR GOLDSTAR                       |   20364|   buc    |  NOU  |    1801783.00 |      1.000|       1801783 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|CONTUL:109=603.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA:  8 = TIRG SAPTAMINAL        SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:    12
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  634| TELEVIZOR GOLDSTAR                       |   20364|   buc    |  NOU  |    1801783.00 |      1.000|       1801783 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  635| DUBLU RADIO CASET MEKOSONIC              |   20365|   buc    |  NOU  |     259109.00 |      1.000|        259109 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  636| COS GUNOI                                |   20366|   buc    |  NOU  |       4098.00 |      1.000|          4098 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  637| CALORIFER EL. 9 EL.WHIRLPOOL             |   20367|   buc    |  NOU  |     443516.00 |      1.000|        443516 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  638| CALORIFER EL. 9 EL.WHIRLPOOL             |   20367|   buc    |  NOU  |     443515.80 |      5.000|       2217579 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  639| CALORIFER EL.7 EL.WHIRLPOOL              |   20368|   buc    |  NOU  |     220275.00 |      1.000|        220275 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  640| CALORIFER EL.7 EL.WHIRLPOOL              |   20368|   buc    |  NOU  |     220275.00 |      1.000|        220275 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  641| CALORIFER EL.7 EL.WHIRLPOOL              |   20368|   buc    |  NOU  |     220275.00 |      1.000|        220275 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  642| CALORIFER 12 EL.WHIRLPOOL                |   20369|   buc    |  NOU  |    1107133.00 |      2.000|       2214266 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
