                                                                          BALANTA ANALITICA
                                                          A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2004 - 08/05/2004


                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|  103|   20136| REZERVOR WC                             | buc        | NOU     |    0     |    2     |    0     |    2     |               |         26170 |               |         26170 |
|  104|   20137| BARIERA                                 | buc        | NOU     |    0     |    1     |    0     |    1     |               |         72500 |               |         72500 |
|  105|   20145| CUIERE PERETE HOTEL                     | buc        | NOU     |    0     |    15    |    0     |    15    |               |         92024 |               |         92024 |
|  106|   20146| DULAP CRUCE ROSIE                       | buc        | NOU     |    0     |    1     |    0     |    1     |               |          5431 |               |          5431 |
|  107|   20147| GARNITURI PAT                           | buc        | NOU     |    0     |    30    |    0     |    30    |               |        382190 |               |        382190 |
|  108|   20149| LIGHEANE                                | buc        | NOU     |    0     |    4     |    0     |    4     |               |         40678 |               |         40678 |
|  109|   20151| PERNE BURDUF                            | buc        | NOU     |    0     |    39    |    0     |    39    |               |        267191 |               |        267191 |
|  110|   20152| RAME REGULAMENT                         | buc        | NOU     |    0     |    21    |    0     |    21    |               |          8518 |               |          8518 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  08/05/2004                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     3
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|  111|   20154| MASA FANTEZIE                           | buc        | NOU     |    0     |    1     |    0     |    1     |               |         43513 |               |         43513 |
|  112|   20155| FOTOLII                                 | buc        | NOU     |    0     |    2     |    0     |    2     |               |        145049 |               |        145049 |
|  113|   20156| MASA PERSONAL                           | buc        | NOU     |    0     |    1     |    0     |    1     |               |         29011 |               |         29011 |
|  114|   20157| SCAUNE WC                               | buc        | NOU     |    0     |    2     |    0     |    2     |               |         17378 |               |         17378 |
|  115|   20158| APLICE DREPTE                           | buc        | NOU     |    0     |    5     |    0     |    5     |               |         50800 |               |         50800 |
|  116|   20159| PENDULE                                 | buc        | NOU     |    0     |    15    |    0     |    15    |               |         46464 |               |         46464 |
|  117|   20160| RAFTURI LENJERIE                        | buc        | NOU     |    0     |    2     |    0     |    2     |               |         49371 |               |         49371 |
|  118|   20162| MASINI CALCULAT AURORA                  | buc        | NOU     |    0     |    5     |    0     |    5     |               |       1141439 |               |       1141439 |
|  119|   20163| SET PT SARE PIPER                       | buc        | NOU     |    0     |    1     |    0     |    1     |               |          3356 |               |          3356 |
|  120|   20164| ALARMA CASIERIE                         | buc        | NOU     |    0     |    1     |    0     |    1     |               |        815723 |               |        815723 |
|  121|   20165| DULAP METALIC PT SCULE                  | buc        | NOU     |    0     |    1     |    0     |    1     |               |       1324876 |               |       1324876 |
|  122|   20166| APARAT TELEFONIC                        | buc        | NOU     |    0     |    4     |    0     |    4     |               |        198276 |               |        198276 |
|  123|   20168| OFICCE 2000                             | buc        | NOU     |    0     |    2     |    0     |    2     |               |        201616 |               |        201616 |
|  124|   20169| LAMPA BIROU                             | buc        | NOU     |    0     |    1     |    0     |    1     |               |         75264 |               |         75264 |
|  125|   20177| LINGURITE                               | buc        | NOU     |    0     |    2     |    0     |    2     |               |           929 |               |           929 |
|  126|   20179| GEANTA DIPLOMAT                         | buc        | NOU     |    0     |    2     |    0     |    2     |               |        299776 |               |        299776 |
|  127|   20180| FILTRU CAFEA                            | buc        | NOU     |    0     |    2     |    0     |    2     |               |        173331 |               |        173331 |
|  128|   20181| HUSE MONITOR                            | buc        | NOU     |    0     |    10    |    0     |    10    |               |         38898 |               |         38898 |
|  129|   20182| STAMPILE                                | buc        | NOU     |    0     |    3     |    0     |    3     |               |          9696 |               |          9696 |
|  130|   20183| CUTIE MET CARTI MUNCA                   | buc        | NOU     |    0     |    1     |    0     |    1     |               |          3894 |               |          3894 |
|  131|   20186| BIROU FEMEI                             | buc        | NOU     |    0     |    2     |    0     |    2     |               |       1256096 |               |       1256096 |
|  132|   20188| APARAT RADIO                            | buc        | NOU     |    0     |    7     |    0     |    7     |               |       1743216 |               |       1743216 |
|  133|   20189| MASA SEDINTA                            | buc        | NOU     |    0     |    1     |    0     |    1     |               |          2896 |               |          2896 |
|  134|   20191| SCAUNE 234 NEGRE                        | buc        | NOU     |    0     |    4     |    0     |    4     |               |       1593997 |               |       1593997 |
|  135|   20192| LUSTRE CU VENTILATOR                    | buc        | NOU     |    0     |    8     |    0     |    8     |               |       3130897 |               |       3130897 |
|  136|   20193| OCHELARI PROTECTIE                      | buc        | NOU     |    0     |    1     |    0     |    1     |               |         70000 |               |         70000 |
|  137|   20195| MENGHINA                                | buc        | NOU     |    0     |    2     |    0     |    2     |               |        461320 |               |        461320 |
|  138|   20197| RULETA                                  | buc        | NOU     |    0     |    8     |    0     |    8     |               |        122888 |               |        122888 |
|  139|   20201| CIOCANE 0500                            | buc        | NOU     |    0     |    1     |    0     |    1     |               |          3790 |               |          3790 |
|  140|   20204| CHEI INELARE                            | buc        | NOU     |    0     |    5     |    0     |    5     |               |         19915 |               |         19915 |
|  141|   20208| SPACLU                                  | buc        | NOU     |    0     |    1     |    0     |    1     |               |          1457 |               |          1457 |
|  142|   20212| TRUSA SUDURA O7.95                      | buc        | NOU     |    0     |    1     |    0     |    1     |               |        193680 |               |        193680 |
|  143|   20217| CLESTE MOX                              | buc        | NOU     |    0     |    1     |    0     |    1     |               |        112605 |               |        112605 |
|  144|   20219| FIERASTRAU                              | buc        | NOU     |    0     |    1     |    0     |    1     |               |        142857 |               |        142857 |
